,Año,Trimestre,Banda ancha fija,Dial up,Mbps (Media de bajada),Trimestre.1,Provincia_x,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Mas de 30 Mbps,Otros Mbps,Ingresos (miles de pesos),Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otras conexiones,Total Mbps-conexiones
107,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,La Rioja,2827,55443,23086,6396,30,87782
108,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,Mendoza,17674,70932,185460,27606,925,302597
109,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,Misiones,23217,77561,81498,13378,6902,202556
110,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,Neuquén,24076,73298,41577,24387,908,164246
111,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,Río Negro,20841,49727,66889,17733,15829,171019
112,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,Salta,23858,99150,61543,11807,6503,202861
113,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,San Juan,12669,18543,44904,23594,6956,106666
114,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,San Luis,4038,41260,31539,78954,299,156090
115,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,Santa Cruz,7768,14435,49545,7799,661,80208
116,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chubut,111.0,1083.0,43828.0,31885.0,23024.0,20261.0,33844.0,16640.0,280419124,Santa Fe,86548,399817,374288,44162,13773,918588
